Item,Location,Energy Consumption,Electricity Usage,Gasoline Usage,Water Usage,Emission Levels,Recyclability,% of Recycled Materials Used,Biodegradability,Toxicity,Materials,Overall environmental ranking
Hydro Flask Water Bottle,China,Low,Low,None,Very Low,Very Low,Yes,Medium,No,Very Low,Stainless Steel,High
iPad Pro,China,High,High,None,Medium,Medium,Partial,Low,No,Low,"Aluminum, Glass, Electronics",Medium
Nike Air Force 1,Vietnam,High,Medium,None,High,Medium,Partial,Low,No,Medium,"Leather, Rubber",Medium
LEGO Classic Bricks,Denmark,Medium,Medium,None,Medium,Medium,Yes,Low,No,Low,ABS Plastic,Medium
MacBook Air,China,High,High,None,Medium,Medium,Partial,Low,No,Low,"Aluminum, Glass, Electronics",Medium
L.L.Bean Boots,USA,Medium,Low,None,High,Medium,Partial,Medium,No,Medium,"Rubber, Leather",Medium
Fjallraven Kanken Backpack,Vietnam,Medium,Low,None,Medium,Medium,Partial,High,No,Low,"Vinyl, Polyester",High
Vans Old Skool,Vietnam,High,Medium,None,High,Medium,Partial,Low,No,Medium,"Canvas, Rubber",Medium
IKEA MALM Bed frame,Sweden,Medium,Medium,None,Low,Medium,Yes,High,No,Low,"Wood, Metal",High
Patagonia Down Sweater Jacket,Vietnam,Medium,Medium,None,High,Medium,Yes,High,Partial,Low,"Polyester, Down",High
Ray-Ban Original Wayfarer Sunglasses,Italy,Low,Low,None,Low,Low,No,Low,No,Low,"Plastic, Glass",Medium
GoPro HERO8,China,Medium,Medium,None,Low,Medium,No,Low,No,Low,"Plastic, Glass, Electronics",Medium
Bose SoundLink Color II,Mexico,Medium,Medium,None,Low,Low,Partial,Low,No,Low,"Plastic, Rubber, Electronics",Medium
Allbirds Wool Runners,New Zealand/China,Medium,Medium,None,High,Medium,Partial,High,Yes,Low,"Wool, Rubber",High
Electric Bicycle,Various (commonly China),Medium,Medium,None,Low,Low,Partial,Low,No,Low,"Steel, Aluminum, Lithium-ion battery",Medium
Rechargeable Batteries,Various (commonly China),Medium,High,None,Low,Medium,Partial,Low,No,High,"Zinc, Manganese dioxide, Plastic",Low
Glass Bottle,Various,Low,Low,None,Low,Low,Yes,High,No,Low,Glass,High
Cotton T-Shirt,"Various (commonly India, China, Bangladesh)",Medium,Low,None,High,Medium,Yes,Low,Yes,Low,"Cotton, Dye",Medium
Plastic Shopping Bag,Various,Low,Low,None,Low,Low,Partial,Low,No,Low,Plastic,Low
Disposable Diapers,"Various (commonly USA, China)",High,Low,None,High,High,No,Low,No,Medium,"Plastic, Cotton, Super Absorbent Polymer",Low
LED Light Bulb,Various (commonly China),Low,Low,None,Low,Low,Partial,Low,No,Low,"Glass, Metal, Plastic",High
Wooden Dining Chair,Various,Medium,Low,None,Low,Medium,Yes,High,Yes,Low,"Wood, Metal",High
Ceramic Dinner Plate,Various,Medium,High,None,Medium,Medium,Yes,Low,No,Low,Ceramic,Medium
Stainless Steel Cutlery Set,Various,Low,Low,None,Low,Low,Yes,Low,No,Low,Stainless Steel,High
Leather Boots,Various,High,Low,None,High,High,Partial,Low,No,High,"Leather, Rubber",Low
Paper Notebook,Various,Low,Low,None,Medium,Low,Yes,Medium,Yes,Low,"Paper, Cardboard",High
Stainless Steel Water Bottle,Various,Low,Low,None,Low,Low,Yes,Low,No,Low,Stainless Steel,High
Wool Sweater,Various,Medium,Low,None,High,Medium,Yes,Low,Yes,Low,"Wool, Dye",Medium
Synthetic Fiber Jacket,Various,High,Low,None,Medium,Medium,Partial,Medium,No,Low,"Polyester, Dye",Medium
Wooden Pencil,Various,Low,Low,None,Low,Low,Yes,High,Yes,Low,"Wood, Graphite, Metal, Rubber",High
